TypeID,StationID,Type,OrderID,Price,Total,Remaining
34,60003760,"Buy",7325534431,2.92,150000000,150000000
34,60003760,"Buy",7320560574,2.73,1000000000,1000000000
34,60003760,"Buy",7356519950,3.59,3541600,3334195
34,60003760,"Buy",7193796938,0.61,2147483647,2147483647
34,60003760,"Buy",7354158776,3.28,100000000,100000000
34,60003760,"Buy",7323587811,3.16,10000000,5140220
34,60003760,"Buy",7328832488,3.0,500000000,500000000
34,60003760,"Buy",7324624747,2.98,250000000,250000000
34,60003760,"Buy",7323476201,1.4,125000000,125000000
34,60003760,"Buy",7324094305,3.18,500000000,500000000
34,60003760,"Buy",7355806339,3.56,100000000,82267946
34,60003760,"Buy",7355844163,3.57,100000000,93778647
34,60003760,"Buy",7037207337,2.93,2147483647,2142525360
34,60003760,"Buy",7343260710,1.23,100000000,95738660
34,60003760,"Buy",7354349825,3.32,9460875,9310576
34,60003760,"Buy",7323476452,1.8,75000000,75000000
34,60003760,"Sell",7331884077,4.08,78555764,78555764
34,60003760,"Sell",7328638952,4.09,6250000,6250000
34,60003760,"Sell",7336083011,4.03,1826808022,1134060877
34,60003760,"Sell",7338198102,4.02,227993906,227993906
34,60003760,"Sell",7323268475,4.17,57857,57857
34,60003760,"Sell",7314147431,5.45,123456789,123456789
34,60003760,"Sell",7343042886,4.0,100000,100000
34,60003760,"Sell",7314149995,5.28,12345677,12345677
34,60003760,"Sell",7348651722,3.98,2411424,2411424
34,60003760,"Sell",7331233176,4.09,115652090,115652090
34,60003760,"Sell",7321244092,4.12,225213029,140464164
34,60003760,"Sell",7354227982,3.96,16354935,16354935
34,60003760,"Sell",7347720439,3.96,1140000000,154210899
34,60003760,"Sell",7318503818,4.1,447000010,447000010
34,60003760,"Sell",7354878094,3.87,253505908,199754078
34,60003760,"Sell",7317459518,4.21,72689839,60916556
34,60003760,"Sell",7341190960,4.0,29595233,29595233
34,60003760,"Sell",7342338252,4.9,10,10
34,60003760,"Sell",7344863200,3.97,292173,292173
34,60003760,"Sell",7340634763,4.93,1674,1674
34,60003760,"Sell",7342071706,4.35,81438,81438
34,60003760,"Sell",7355882586,4.02,17396759,17396759
34,60003760,"Sell",7354589479,2000.0,1,1
34,60003760,"Sell",7354883205,3.88,2147483647,2147483647
34,60003760,"Sell",7355555168,3.82,100000000,97143533
34,60003760,"Sell",7346865889,4.0,45500,45500
34,60003760,"Sell",7316365380,15.04,37944,37944
34,60003760,"Sell",7354951229,3.84,707972705,643868835
34,60003760,"Sell",7342578575,4.0,1320883,1320883
34,60003760,"Sell",7338578290,4.0,1044239,1044239
34,60003760,"Sell",7328013795,4.28,1147483647,1147483647
34,60003760,"Sell",7348622136,5.0,6250,6250
34,60003760,"Sell",7338610318,3.99,5947,5947
34,60003760,"Sell",7353086747,4.65,124610,124610
34,60003760,"Sell",7348871585,4.0,107600,107600
34,60003760,"Sell",7338255006,4.0,5500000,5500000
34,60003760,"Sell",7314070105,87.98,13600,8712
34,60003760,"Sell",7330911435,4.09,115652090,115652090
34,60003760,"Sell",7328401851,4.1,6108500,6108500
34,60003760,"Sell",7344139669,4.85,6389325,6389325
34,60003760,"Sell",7328818897,4.09,6108500,6108500
34,60003760,"Sell",7343067116,4.05,1000000,1000000
34,60003760,"Sell",7345687412,4.08,4874370,4874370
34,60003760,"Sell",7320169016,4.18,68310538,68310538
34,60003760,"Sell",7316860401,4.24,341000000,180418068
34,60003760,"Sell",7316190861,4.74,17033186,17033186
34,60003760,"Sell",7355555335,3.82,100000000,100000000
34,60003760,"Sell",7355532285,3.83,200000000,183159955
34,60003760,"Sell",7314395795,4.1,500000000,191910478
34,60003760,"Sell",7343503917,4.38,616647,616647
34,60003760,"Sell",7314250142,4.75,1351040,238248
